Field,LocalizationKey,English,TemplateCount,Categories,Templates
description,Consumable_FoodManaForDurationDesc,Restores [HealValue] mana over [Duration]s.,12,food,ItemTemplate_Crafting_Alchemy_BurdockRoot | ItemTemplate_Crafting_Alchemy_Chanterelle | ItemTemplate_Crafting_Alchemy_DevilsSnare | ItemTemplate_Crafting_Alchemy_Etherbloom | ItemTemplate_Crafting_Alchemy_KingTrumpet | ItemTemplate_Crafting_Alchemy_Milkweed | ItemTemplate_Crafting_Alchemy_Rosemary | ItemTemplate_Crafting_Alchemy_SheepsHead | ItemTemplate_Crafting_Alchemy_SnailSlime | ItemTemplate_Crafting_Alchemy_StrangeToe | ItemTemplate_Crafting_Alchemy_SweetTooth | ItemTemplate_Crafting_Alchemy_UmbilicalCord
description,NameSkill_Consumable_DecreaseStatPercForDuration,Decreases [StatEnum] by [LoseValueCalculated:P0] for [Duration]s.,1,potion,ItemTemplate_Alchemy_SlowfallPotion
description,NameSkill_Consumable_EssenceOfCold,Each arrow hit within [DurationCalculated]s of drinking deals an extra [DamagePercent:P0] Damage and an additional [FlatBonus] cold Damage.,1,potion,ItemTemplate_Alchemy_EssenceOfCold
description,NameSkill_Consumable_EssenceOfFire,Each arrow hit within [DurationCalculated]s of drinking deals an extra [DamagePercent:P0] Damage and an additional [FlatBonus] fire Damage.,1,potion,ItemTemplate_Alchemy_EssenceOfFire
description,NameSkill_Consumable_FoodHealAndIncreaseForDurationDesc ,"Increases [StatEnum] by [AddValueCalculated] for [DurationCalculated_0]s.
Restores [HealValue_1] health over [DurationCalculated_1]s.",2,food,ItemTemplate_Cooking_Custom_GrandmasPowermilk | ItemTemplate_Cooking_Custom_WyrddeerStew
description,NameSkill_Consumable_FoodHealForDurationDesc,Restores [HealValue] health over [DurationCalculated]s.,107,food,ItemTemplate_Consumable_Quest_GreatMistake | ItemTemplate_Cooking_Custom_AppleFritters | ItemTemplate_Cooking_Custom_AppleOatmeal | ItemTemplate_Cooking_Custom_BeefStew | ItemTemplate_Cooking_Custom_BeggarsFare | ItemTemplate_Cooking_Custom_Broth | ItemTemplate_Cooking_Custom_CabbageRolls | ItemTemplate_Cooking_Custom_CheeseBallDoom | ItemTemplate_Cooking_Custom_CheeseBun | ItemTemplate_Cooking_Custom_CheesePie | ItemTemplate_Cooking_Custom_CottagePie | ItemTemplate_Cooking_Custom_CoughSyrup | ItemTemplate_Cooking_Custom_Custard | ItemTemplate_Cooking_Custom_FishSoup | ItemTemplate_Cooking_Custom_FishermansBreath | ItemTemplate_Cooking_Custom_FriedCheese | ItemTemplate_Cooking_Custom_FriedFish | ItemTemplate_Cooking_Custom_FriedPotatoesAndOnions | ItemTemplate_Cooking_Custom_GrandmasSecret | ItemTemplate_Cooking_Custom_HeartyOmelet | ItemTemplate_Cooking_Custom_HoneyedApples | ItemTemplate_Cooking_Custom_HuntersDelicacy | ItemTemplate_Cooking_Custom_HuntersStew | ItemTemplate_Cooking_Custom_KamelotsDelicacy | ItemTemplate_Cooking_Custom_MashedPotatoes | ItemTemplate_Cooking_Custom_Noodles | ItemTemplate_Cooking_Custom_Oatmeal | ItemTemplate_Cooking_Custom_OatmealMilk | ItemTemplate_Cooking_Custom_Pancake | ItemTemplate_Cooking_Custom_PeasantsStew | ItemTemplate_Cooking_Custom_PorkAspic | ItemTemplate_Cooking_Custom_PoultryStew | ItemTemplate_Cooking_Custom_Roast | ItemTemplate_Cooking_Custom_Scones | ItemTemplate_Cooking_Custom_ScrambledEggsMeat | ItemTemplate_Cooking_Custom_ScrambledEggsVegetables | ItemTemplate_Cooking_Custom_SewalsDelight | ItemTemplate_Cooking_Custom_Shortbread | ItemTemplate_Cooking_Custom_SimpleMeal | ItemTemplate_Cooking_Custom_SoS_DeepSeaTangle | ItemTemplate_Cooking_Custom_SoS_FishStew | ItemTemplate_Cooking_Custom_SoS_ReefboundsDelight | ItemTemplate_Cooking_Custom_SoS_SailorsRevenge | ItemTemplate_Cooking_Custom_SoS_SarrasBloodSausage_Quest | ItemTemplate_Cooking_Custom_SoS_SeaSalad | ItemTemplate_Cooking_Custom_SoS_SeaSoup | ItemTemplate_Cooking_Custom_SoS_SeaweedCake_Quest | ItemTemplate_Cooking_Custom_SoS_SwamOfViridianWailcaps | ItemTemplate_Cooking_Custom_SourHerringAndCheese | ItemTemplate_Cooking_Custom_SouthernStyleCrab | ItemTemplate_Cooking_Custom_TheKraken | ItemTemplate_Cooking_Custom_VenisonStew | ItemTemplate_Cooking_Generic_Bread | ItemTemplate_Cooking_Generic_Foodstuff_1 | ItemTemplate_Cooking_Generic_Foodstuff_2 | ItemTemplate_Cooking_Generic_Foodstuff_3 | ItemTemplate_Cooking_Generic_Foodstuff_4 | ItemTemplate_Cooking_Generic_Foodstuff_5 | ItemTemplate_Cooking_Generic_Foodstuff_Delicious_1 | ItemTemplate_Cooking_Generic_Foodstuff_Delicious_2 | ItemTemplate_Cooking_Generic_Foodstuff_Delicious_3 | ItemTemplate_Cooking_Generic_Foodstuff_Delicious_4 | ItemTemplate_Cooking_Generic_Foodstuff_Tasty_1 | ItemTemplate_Cooking_Generic_Foodstuff_Tasty_2 | ItemTemplate_Cooking_Generic_Foodstuff_Tasty_3 | ItemTemplate_Cooking_Generic_Foodstuff_Tasty_4 | ItemTemplate_Cooking_Generic_Foodstuff_Tasty_5 | ItemTemplate_Cooking_ZZZ_Generic_CookedFruits | ItemTemplate_Cooking_ZZZ_Generic_CookedMeat | ItemTemplate_Cooking_ZZZ_Generic_CookedSeafood | ItemTemplate_Cooking_ZZZ_Generic_CookedVegetable | ItemTemplate_Crafting_Alchemy_Brittlegill | ItemTemplate_Crafting_Alchemy_Carnation | ItemTemplate_Crafting_Alchemy_Daffodil | ItemTemplate_Crafting_Alchemy_Mistletoe | ItemTemplate_Crafting_Alchemy_PennyBun | ItemTemplate_Crafting_Alchemy_Rose | ItemTemplate_Crafting_Alchemy_Sage | ItemTemplate_Crafting_Alchemy_WhiteButton | ItemTemplate_Crafting_Cooking_Algae | ItemTemplate_Crafting_Cooking_Apple | ItemTemplate_Crafting_Cooking_Beef | ItemTemplate_Crafting_Cooking_Blueberry | ItemTemplate_Crafting_Cooking_Butter | ItemTemplate_Crafting_Cooking_Cabbage | ItemTemplate_Crafting_Cooking_CanineMeat | ItemTemplate_Crafting_Cooking_Carrot | ItemTemplate_Crafting_Cooking_Cheese | ItemTemplate_Crafting_Cooking_Crab | ItemTemplate_Crafting_Cooking_Egg | ItemTemplate_Crafting_Cooking_FishGeneric | ItemTemplate_Crafting_Cooking_Flour | ItemTemplate_Crafting_Cooking_Garlic | ItemTemplate_Crafting_Cooking_Groats | ItemTemplate_Crafting_Cooking_Honey | ItemTemplate_Crafting_Cooking_Lettuce | ItemTemplate_Crafting_Cooking_Milk | ItemTemplate_Crafting_Cooking_Oats | ItemTemplate_Crafting_Cooking_Onion | ItemTemplate_Crafting_Cooking_Parsley | ItemTemplate_Crafting_Cooking_Pork | ItemTemplate_Crafting_Cooking_Potato | ItemTemplate_Crafting_Cooking_Poultry | ItemTemplate_Crafting_Cooking_Raspberry | ItemTemplate_Crafting_Cooking_Seaweed | ItemTemplate_Crafting_Cooking_Tomato | ItemTemplate_Crafting_Cooking_Venison
description,NameSkill_Consumable_HealOverTimeFlat_Desc,Restores [HealValueCalculated] [StatEnum] over [Duration]s.,2,food | potion,ItemTemplate_Alchemy_SmallStaminaPotion | ItemTemplate_Alchemy_StrongHealingTincture
description,NameSkill_Consumable_IncreaseStatFlatDesc,Increases [StatEnum] by [AddValueCalculated] for [DurationCalculated_0]s.,4,food | potion,ItemTemplate_Alchemy_VigorTea | ItemTemplate_Crafting_Alchemy_FishEye | ItemTemplate_Crafting_Alchemy_FishEye 1 | ItemTemplate_Crafting_Alchemy_Peppermint
description,NameSkill_Consumable_LockStatForDuration,Locks [Stat] at 100% for [DurationCalculated]s.,2,potion,ItemTemplate_Alchemy_LovingWitchBrew | ItemTemplate_Alchemy_PlentifulResourcePotion
description,NameSkill_Consumable_RapidShooterMixture,"Consumption increases [StatToModify] by [ModifyValue:P0], but consumes [Cost] [StatToPay] per second.",1,potion,ItemTemplate_Alchemy_RapidShooterMixture
